Name,District-ID,District,Cordenate-X,Cordenate-Y,latitude,longitude,Type
Centro Deportivo Municipal La Fundi,2.0,arganzuela,441329.0,4471761.0,4039437715885100,-3691341060146100,['Gimnasios']
Centro Deportivo Municipal La Masó,8.0,fuencarral-el pardo,439451.0,4481771.0,4048442599932080,-37144222564719800,['Gimnasios']
Centro Deportivo Municipal Lago Casa de Campo,9.0,moncloa-aravaca,437942.0,4474300.0,40417013097503696,-37314952685679904,['Embarcaderos']
Centro Deportivo Municipal Las Cruces,10.0,latina,435779.0,4470115.0,40379148937377296,-3756554762411960,['CamposEstadiosFutbol']
Centro Deportivo Municipal Los Prunos,16.0,hortaleza,447540.0,4478250.0,40453257453448000,-36186956428199800,['Gimnasios']
Centro Deportivo Municipal Luis Aragonés,16.0,hortaleza,446795.0,4479520.0,40464650948053800,-36275877145025800,['Gimnasios']
Centro Deportivo Municipal Margot Moles (Vicálvaro),19.0,vicalvaro,448815.0,4473344.0,4040914061858400,-3603264732850390,['Gimnasios']
Centro Deportivo Municipal Marqués de Samaranch,2.0,arganzuela,439131.0,4473248.0,4040761501410640,-37173807221939104,['Gimnasios']
Centro Deportivo Municipal Miguel Guillén Prim,18.0,villa de vallecas,447099.0,4469435.0,4037381855452160,-3623151468598150,['Gimnasios']
Centro Deportivo Municipal Moratalaz,14.0,moratalaz,446331.0,4472220.0,4039885854572330,-3632432290214530,['Gimnasios']
Centro Deportivo Municipal Moscardó,12.0,usera,440053.0,4471118.0,4038850290426960,-3706303079808020,['Gimnasios']
Centro Deportivo Municipal Orcasitas,12.0,usera,439519.0,4469689.0,4037558213858420,-371245854352948,['Gimnasios']
Centro Deportivo Municipal Orcasur,12.0,usera,440727.0,4469292.0,4037021993373850,-36994689006077400,['Gimnasios']
Centro Deportivo Municipal Pabellón Villa de Madrid,21.0,barajas,450054.0,4479144.0,4046145708324950,-35891069291726100,['Gimnasios']
Centro Deportivo Municipal Palomeras,13.0,puente de vallecas,446209.0,4470416.0,4038260362230280,-36337151808372400,['Gimnasios']
Centro Deportivo Municipal Pepu Hernández,20.0,san blas-canillejas,448569.0,4475399.0,4042763842661560,-3606311072744060,['Gimnasios']
Centro Deportivo Municipal Peñagrande,8.0,fuencarral-el pardo,439176.0,4480925.0,40476792184653504,-3717566523014730,['Gimnasios']
Centro Deportivo Municipal Peñuelas,2.0,arganzuela,440176.0,4472244.0,4039865532340660,-3704959759845770,['Piscinas']
Centro Deportivo Municipal Plata y Castañar,17.0,villaverde,439040.0,4466852.0,4034998997348070,-37178413073202800,['Gimnasios']
