 ID-EVENTO,Title,District,X-coordinate,Y-coordinate,Latitude,Length,Type
11933865,Práctica de diana,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11933255,Práctica futbolín,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11953437,Prácticas para una conciliación corresponsable en el ámbito laboral,unknown,Unknown,Unknown,Unknown,Unknown,['EnLinea']
11910632,PRAGA 1941. Jóvenes rubios no paran de gritar frente a mi casa - Hortaleza,hortaleza,444469.0,4482391.0,4049035310157370.0,-3655261744717250.0,['1ciudad21distritos']
11910635,PRAGA 1941. Jóvenes rubios no paran de gritar frente a mi casa - Hortaleza,hortaleza,444469.0,4482391.0,4049035310157370.0,-3655261744717250.0,['1ciudad21distritos']
11905919,PRAGA 1941. Jóvenes rubios no paran de gritar frente a mi casa - Tetuán,tetuan,440857.0,4480052.0,4046903299144090.0,-3.69766200679649e+16,['1ciudad21distritos']
11905920,PRAGA 1941. Jóvenes rubios no paran de gritar frente a mi casa - Tetuán,tetuan,440857.0,4480052.0,4046903299144090.0,-3.69766200679649e+16,['1ciudad21distritos']
11934706,Pregunta a la OIJ,usera,439248.0,4469889.0,4037738097077750.0,-3715659887802670.0,"['DanzaBaile', 'FolcloreEtnica']"
11955782,Presentación del libro El capuchón del boli y un huevo frito de José María González Cuasante.,centro,440146.0,4473936.0,4.04138968254989e+16,-3.70546921693233e+16,[]
11956321,Presentación y cuentacuentos del libro infantil  'La vida secreta de los planetas',centro,440645.0,4475347.0,4.04266422153681e+16,-3699722994908340.0,['CuentacuentosTiteresMarionetas']
11950489,Prevención de violencia en la red,ciudad lineal,444580.0,4477056.0,4.04423111007912e+16,-3.65348062463119e+16,['CursosTalleres']
11952415,Primavera en Chamartín 2023,unknown,Unknown,Unknown,Unknown,Unknown,[]
11952931,Primer combate cuartos de final. VII Torneo de Dramaturgia,centro,440597.0,4474036.0,4041482868269550.0,-3.70016635995621e+16,['TeatroPerformance']
